id,name,price,image,description,type,category,skin_types,personal_colors,number
1,헤라 블랙 쿠션(17N1),64000,20oily_base_hera-black-cushion.jpg,세미매트 피니쉬의 정석. 얇지만 강력한 커버력과 밀착력으로 무너짐 없이 깔끔한 피부를 유지해 줍니다.,쿠션,베이스,지성,,20
2,라네즈 네오 쿠션 매트 (17C1),30000,20oily_base_laneige-neo-cushion-matte.jpg,땀과 피지에 강한 스웻프루프 기능으로 여름철이나 활동량이 많은 날에도 처음 화장 그대로 유지해 줍니다.,쿠션,베이스,지성,,20
3,어뮤즈 듀 파워 비건 쿠션 (0.5 페어),36000,20oily_base_amuse-dew-power-vegan-cushion.jpg,속은 촉촉하지만 겉은 보송하게 마무리되어 속당김 없는 매트 표현을 하는 수부지 피부에도 적합합니다.,쿠션,베이스,지성,,20
4,정샘물 스킨 누더 커버레이어 쿠션 (19페어라이트),45000,20oily_base_jsm-skin-nuder-cover-layer-cushion.jpg,높은 커버력에도 뭉침 없이 얇게 레이어링 되며 촉촉한 에센스 블렌딩 파우더가 속건조 없이 편안한 세미 매트 피니쉬를 선사해줍니다.,쿠션,베이스,지성,,20
5,클리오 킬커버 스킨 픽서 쿠션 (19N포슬린),36000,20oily_base_clio-killcover-skin-fixer-cushion.jpg,모공 블러 효과로 얇고 가볍지만 확실한 결 커버가 되는 매트 쿠션,쿠션,베이스,지성,,20
6,VDL 커버 스테인 퍼펙팅 파운데이션 (A01 V01),32000,20oily_base_vdl-cover-stain-perfecting-foundation.jpg,에어리 포뮬러가 피부에 가볍게 밀착되어 답답함 없이 결점 없는 매끈한 피부를 완성해 줍니다.,파운데이션,베이스,지성,,20
7,에스티 로더 더블웨어 파운데이션 (1N0포슬린  1N1 아이보리 누드),91000,20oily_base_estee-lauder-double-wear-foundation.jpg,지성 파운데이션의 대명사. 24시간 지속되는 강력한 커버력과 세팅력으로 유분에도 무너지지 않습니다.,파운데이션,베이스,지성,,20
8,바닐라코 커버리셔스 파워 핏 파운데이션 (19라이트 21 아이보리),34000,20oily_base_banilaco-covericious-power-fit-foundation.jpg,강력한 커버력으로 모공과 요철을 촘촘하게 메워주며 파우더리한 마무리감을 선사합니다.,파운데이션,베이스,지성,,20
9,헤라 실키 스테이 24H 롱웨어 파운데이션 (19N1),70000,20oily_base_hera-silky-stay-24h-longwear-foundation.jpg,실크처럼 부드럽게 발리면서 보송하게 마무리되어 래 내 피부처럼 편안하고 고급스러운 피부를 연출합니다.,파운데이션,베이스,지성,,20
10,웨이크메이크 워터 벨벳 커버 파운데이션 (19호 포슬린),38000,20oily_base_wakemake-water-velvet-cover-foundation.jpg,바를 땐 촉촉하지만 마무리감은 벨벳처럼 보송하여 속건조를 느끼는 지성 피부에게 추천합니다.,파운데이션,베이스,지성,,20
11,정샘물 에센셜 스킨 누더 쿠션 (핑크라이트 엔라이트),45000,20dry_base_jsm-essential-skin-nuder-cushion.jpg,촉촉한 에센스 성분으로 본연의 피부 결을 살려주며 자연스럽고 건강한 윤광 피부를 연출해 줍니다.,쿠션,베이스,건성,,20
12,파넬 시카마누 세럼쿠션 (21호),32000,20dry_base_fanel-cicamano-serum-cushion.jpg,진정 성분이 함유된 세럼 제형으로 스킨케어 기능까지 더해 민감한 건성 피부에 영양감 있는 윤기를 부여합니다.,쿠션,베이스,건성,,20
13,에스쁘아 비글로우 볼륨 쿠션 (20호 바닐라),40000,20dry_base_espoir-be-glow-volume-cushion.jpg,속부터 차오르는 하이퍼 볼륨 광채와 플럼핑 효과로 피부를 매끈하고 촉촉하게 채워주는 수분 광채 글로우 쿠션,쿠션,베이스,건성,,20
14,클리오 킬커버 메쉬 글로우 에센셜 쿠션 (19C라이트 19N포슬린),36000,20dry_base_clio-killcover-mesh-glow-essential-cushion.jpg,핑크빛 생기광이 메쉬망을 통해 고르게 묻어나와 얇고 매끈하게 발리면서도 오래 지속되는 수분광과 화사한 커버력을 선사하는 글로우 쿠션,쿠션,베이스,건성,,20
